epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,812.796,1.67122,2.62955,1.74433,1.078,0.53528,0.34151,0.37774,0.2228,0.5239,0.35247,0.35751,0.18631,1.59693,2.3844,1.5972,1.06504,0.000320562,0.000320562,0.000320562
31,839.743,1.73301,2.48071,1.82677,1.11603,0.58056,0.35516,0.37379,0.22634,0.56577,0.35284,0.36988,0.18505,1.5823,2.42744,1.41138,1.07516,0.000314375,0.000314375,0.000314375
32,866.962,1.70226,2.57059,1.75251,1.08777,0.60834,0.28312,0.41005,0.20855,0.54215,0.34448,0.35353,0.16246,1.60325,2.4089,1.54668,1.05913,0.000308188,0.000308188,0.000308188
33,893.734,1.6127,2.40437,1.7612,1.10056,0.83273,0.30902,0.4585,0.22602,0.49277,0.48016,0.34208,0.16745,1.53758,2.35385,1.62603,1.08467,0.000302,0.000302,0.000302
34,920.861,1.59916,2.43156,1.54478,1.10011,0.55566,0.30107,0.36843,0.19995,0.49211,0.26523,0.33444,0.16129,1.55338,2.38306,1.52784,1.06963,0.000295813,0.000295813,0.000295813
35,947.91,1.66049,2.50256,1.72517,1.08998,0.48396,0.56595,0.4252,0.23709,0.46527,0.56066,0.39887,0.18814,1.59811,2.30444,1.34694,1.07553,0.000289625,0.000289625,0.000289625
36,975.497,1.63282,2.58778,1.63834,1.08559,0.47064,0.51155,0.39048,0.20587,0.44051,0.50444,0.37411,0.18068,1.62645,2.43326,1.45792,1.10899,0.000283437,0.000283437,0.000283437
37,1010.44,1.68731,2.57375,1.63971,1.08012,0.43243,0.43651,0.39208,0.22605,0.41412,0.42989,0.38772,0.17914,1.54751,2.30751,1.4866,1.06643,0.00027725,0.00027725,0.00027725
38,1046.68,1.59783,2.3042,1.59099,1.03963,0.47683,0.38673,0.3987,0.22415,0.38146,0.39328,0.37172,0.17879,1.50606,2.3407,1.45779,1.03785,0.000271062,0.000271062,0.000271062
39,1077.33,1.63206,2.3666,1.66102,1.04355,0.41259,0.58078,0.43068,0.23208,0.37235,0.45035,0.40868,0.17696,1.47335,2.30353,1.26922,1.03931,0.000264875,0.000264875,0.000264875
40,1112.02,1.63551,2.4701,1.62533,1.05837,0.55645,0.36461,0.3648,0.21086,0.52753,0.47409,0.35145,0.17906,1.52651,2.25174,1.49981,1.06332,0.000258687,0.000258687,0.000258687
41,1145.36,1.66736,2.34248,1.58168,1.05643,0.54457,0.51285,0.41549,0.23845,0.49453,0.44142,0.35254,0.1827,1.50523,2.25084,1.32327,1.04767,0.0002525,0.0002525,0.0002525
42,1181.26,1.56931,2.32651,1.57047,1.05716,0.83876,0.4195,0.58511,0.32504,0.77303,0.35955,0.50376,0.22673,1.53896,2.25981,1.31456,1.06578,0.000246313,0.000246313,0.000246313
43,1218.58,1.58531,2.34897,1.59212,1.07046,0.68946,0.56694,0.56036,0.31126,0.85609,0.37396,0.52108,0.22182,1.52688,2.26077,1.3418,1.05851,0.000240125,0.000240125,0.000240125
44,1247.51,1.60315,2.39251,1.6606,1.04012,0.58013,0.37103,0.43045,0.26163,0.49902,0.37283,0.3858,0.20218,1.51236,2.28122,1.49848,1.05866,0.000233938,0.000233938,0.000233938
45,1274.82,1.57289,2.44683,1.50419,1.04448,0.58848,0.55263,0.47584,0.2884,0.54512,0.41624,0.40623,0.21261,1.4636,2.25729,1.36169,1.04381,0.00022775,0.00022775,0.00022775
46,1302,1.53251,2.4596,1.58823,1.0132,0.51075,0.45551,0.46261,0.27101,0.49701,0.45526,0.43577,0.211,1.44647,2.27553,1.45712,1.01429,0.000221562,0.000221562,0.000221562
47,1329.2,1.56505,2.39275,1.56407,1.04738,0.46975,0.57448,0.41535,0.2515,0.45362,0.56508,0.40413,0.17861,1.44626,2.32164,1.40228,1.01796,0.000215375,0.000215375,0.000215375
48,1357.14,1.50094,2.21786,1.48602,1.01398,0.85879,0.28392,0.46156,0.30033,0.82317,0.27695,0.44293,0.23072,1.43926,2.2419,1.30054,1.02897,0.000209188,0.000209188,0.000209188
49,1385.88,1.60838,2.42714,1.61089,1.05157,0.55782,0.57601,0.47681,0.29243,0.52191,0.51233,0.45462,0.23154,1.46851,2.27891,1.4463,1.03167,0.000203,0.000203,0.000203
50,1414.12,1.6029,2.58743,1.52757,1.03642,0.6118,0.51861,0.54424,0.33298,0.54579,0.51398,0.50637,0.24121,1.4029,2.13672,1.41873,1.0067,0.000196812,0.000196812,0.000196812
51,1441.19,1.51713,2.35751,1.47427,1.02993,0.80237,0.40744,0.46897,0.30347,0.77165,0.39818,0.4623,0.21009,1.40978,2.16152,1.23289,1.00782,0.000190625,0.000190625,0.000190625
