epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3302.85,1.57866,2.46353,1.68216,1.2302,0.87053,0.30017,0.43423,0.21467,0.56289,0.26233,0.31215,0.15775,1.53535,2.29306,1.63864,1.21342,0.000320562,0.000320562,0.000320562
31,3413.26,1.61701,2.37177,1.73955,1.20947,0.72649,0.40671,0.46681,0.25106,0.64355,0.28904,0.40913,0.1883,1.48041,2.19373,1.47808,1.1853,0.000314375,0.000314375,0.000314375
32,3523.67,1.58651,2.40513,1.69662,1.20439,0.6384,0.29332,0.42743,0.23857,0.55776,0.23228,0.38359,0.17899,1.48214,2.23829,1.42734,1.18226,0.000308188,0.000308188,0.000308188
33,3633.82,1.49236,2.26005,1.60313,1.17942,0.62976,0.41407,0.47052,0.25082,0.57228,0.33702,0.41133,0.18438,1.44612,2.16924,1.27066,1.17865,0.000302,0.000302,0.000302
34,3744.16,1.50439,2.36507,1.47883,1.19202,0.53204,0.42682,0.41773,0.22367,0.54422,0.33779,0.36596,0.18604,1.53261,2.12019,1.3541,1.22682,0.000295813,0.000295813,0.000295813
35,3854.88,1.5498,2.35859,1.62848,1.1731,0.65474,0.4189,0.49348,0.29269,0.63082,0.41163,0.48506,0.21058,1.48027,2.22619,1.3124,1.18375,0.000289625,0.000289625,0.000289625
36,3965.41,1.49512,2.51331,1.55577,1.16635,0.36374,0.39006,0.36608,0.20471,0.35086,0.379,0.33846,0.1628,1.45522,2.16469,1.4264,1.18393,0.000283437,0.000283437,0.000283437
37,4075.86,1.61352,2.43022,1.58339,1.18391,0.58072,0.34231,0.40958,0.23237,0.32521,0.37731,0.36335,0.19105,1.48708,2.26403,1.33292,1.15157,0.00027725,0.00027725,0.00027725
38,4186.29,1.48564,2.2394,1.42632,1.12777,0.53175,0.48139,0.47428,0.28762,0.54407,0.33031,0.42844,0.21794,1.49466,2.15452,1.60516,1.1766,0.000271062,0.000271062,0.000271062
39,4296.57,1.49929,2.19732,1.51736,1.13126,0.55051,0.43849,0.41062,0.24534,0.52012,0.42791,0.38004,0.19972,1.43287,2.00782,1.18514,1.17256,0.000264875,0.000264875,0.000264875
40,4406.87,1.50802,2.2973,1.46968,1.16119,0.79035,0.36974,0.4474,0.22096,0.54021,0.41713,0.36216,0.17584,1.43015,1.96645,1.33552,1.15822,0.000258687,0.000258687,0.000258687
41,4517.27,1.52911,2.23054,1.46856,1.12819,0.70928,0.42679,0.51174,0.31772,0.67372,0.41746,0.46066,0.24207,1.38253,2.00377,1.21345,1.13674,0.0002525,0.0002525,0.0002525
42,4627.93,1.39781,2.1857,1.46621,1.14215,0.70074,0.56567,0.47424,0.25507,0.62629,0.49083,0.42988,0.20533,1.42136,2.06748,1.2154,1.17212,0.000246313,0.000246313,0.000246313
43,4738,1.45777,2.20567,1.50311,1.16492,0.65986,0.49863,0.59728,0.32352,0.67402,0.40199,0.53117,0.24614,1.42568,1.98346,1.34817,1.15789,0.000240125,0.000240125,0.000240125
44,4848.15,1.43598,2.336,1.50447,1.11116,0.84209,0.35017,0.48222,0.26412,0.45938,0.45937,0.42202,0.20369,1.41131,2.10046,1.28642,1.16161,0.000233938,0.000233938,0.000233938
45,4958.53,1.4229,2.18628,1.33856,1.11259,0.60175,0.5589,0.54609,0.32964,0.51655,0.54899,0.52083,0.24197,1.32877,1.99784,1.18986,1.09869,0.00022775,0.00022775,0.00022775
46,5068.84,1.41695,2.21927,1.5085,1.10134,0.52233,0.50761,0.54271,0.3349,0.483,0.49504,0.52622,0.25415,1.37809,1.97668,1.16374,1.11168,0.000221562,0.000221562,0.000221562
47,5179.42,1.42781,2.14251,1.4249,1.12832,0.65613,0.56595,0.55175,0.35436,0.62939,0.559,0.54276,0.2686,1.35561,1.96499,1.13226,1.11865,0.000215375,0.000215375,0.000215375
48,5289.94,1.36571,2.1403,1.28098,1.06233,0.88325,0.4123,0.54181,0.3358,0.83112,0.40339,0.51405,0.25992,1.31619,1.98484,1.06343,1.06762,0.000209188,0.000209188,0.000209188
49,5400.76,1.41499,2.17784,1.39162,1.09749,0.68613,0.43853,0.50351,0.32002,0.63923,0.42927,0.48555,0.24929,1.2832,1.97959,1.1529,1.06619,0.000203,0.000203,0.000203
50,5511.25,1.42389,2.28517,1.36507,1.09255,0.76539,0.56411,0.57996,0.36261,0.72633,0.55353,0.5655,0.26919,1.26943,1.96691,1.09082,1.04628,0.000196812,0.000196812,0.000196812
51,5621.69,1.4037,2.13811,1.34149,1.09767,0.69735,0.54809,0.56797,0.35484,0.65921,0.53303,0.55783,0.27013,1.26529,1.93439,1.10373,1.04563,0.000190625,0.000190625,0.000190625
52,5732,1.3351,2.0786,1.30061,1.10213,0.62976,0.568,0.56096,0.34909,0.59342,0.55781,0.54433,0.25495,1.27793,1.93582,1.12472,1.0662,0.000184438,0.000184438,0.000184438
53,5842.91,1.37238,2.215,1.32946,1.10414,0.84063,0.51657,0.59916,0.39685,0.80108,0.5039,0.58448,0.27676,1.27657,1.88864,1.05763,1.0694,0.00017825,0.00017825,0.00017825
54,5953.45,1.25287,2.011,1.1465,1.07362,0.70949,0.4305,0.5467,0.3737,0.67672,0.41378,0.52527,0.27562,1.20994,1.86039,1.04227,1.02259,0.000172063,0.000172063,0.000172063
55,6063.93,1.29845,1.94898,1.30622,1.06066,0.66659,0.42952,0.59451,0.3726,0.63068,0.41844,0.57604,0.30362,1.28255,1.89702,1.03719,1.06657,0.000165875,0.000165875,0.000165875
56,6174.73,1.38556,2.27337,1.38439,1.10551,0.79912,0.59198,0.6625,0.41707,0.75973,0.5804,0.64494,0.314,1.19387,1.96976,1.07334,1.03772,0.000159688,0.000159688,0.000159688
57,6285.35,1.30087,2.02147,1.24115,1.06737,0.69759,0.58026,0.68849,0.4016,0.65386,0.56968,0.67131,0.29527,1.28569,2.0103,1.15289,1.09372,0.0001535,0.0001535,0.0001535
58,6395.97,1.28334,1.96189,1.16381,1.04289,0.7554,0.46254,0.59789,0.40926,0.70495,0.45295,0.57947,0.3036,1.25251,1.82447,0.96854,1.04844,0.000147312,0.000147312,0.000147312
59,6506.67,1.25113,2.0285,1.23772,1.02834,0.5897,0.58029,0.59913,0.38109,0.55358,0.56871,0.5842,0.30504,1.25795,1.8933,0.98055,1.03964,0.000141125,0.000141125,0.000141125
60,6617.31,1.25891,1.9778,1.13306,1.02779,0.78514,0.58644,0.66711,0.43527,0.74609,0.57785,0.65181,0.32251,1.20052,1.89749,1.04173,1.02382,0.000134937,0.000134937,0.000134937
61,6727.89,1.26379,1.96043,1.05471,1.05329,0.65318,0.53461,0.60265,0.38053,0.60738,0.52105,0.5619,0.29783,1.23824,1.87686,0.97319,1.03181,0.00012875,0.00012875,0.00012875
62,6838.75,1.27294,2.04264,1.13852,1.04083,0.70827,0.58157,0.61695,0.40784,0.67606,0.57433,0.60777,0.32318,1.12509,1.77865,0.92061,1.00011,0.000122563,0.000122563,0.000122563
63,6949.55,1.19761,1.94555,1.11815,0.99789,0.79484,0.53121,0.65802,0.41444,0.74733,0.52319,0.64246,0.32723,1.14316,1.78924,0.93918,1.00409,0.000116375,0.000116375,0.000116375
