epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1698,1.39988,1.33299,1.10241,0.71506,0.46759,0.52786,0.32875,1.35492,1.09751,1.08373,0.000246313,0.000246313,0.000246313
43,1738.38,1.39317,1.3736,1.11242,0.76774,0.40962,0.54001,0.33521,1.38204,1.17625,1.09086,0.000240125,0.000240125,0.000240125
44,1778.76,1.40436,1.43079,1.08003,0.68014,0.46315,0.53568,0.31363,1.3344,1.16369,1.06142,0.000233938,0.000233938,0.000233938
45,1819.22,1.42047,1.2633,1.07318,0.79663,0.48252,0.55195,0.33133,1.31239,1.12159,1.04344,0.00022775,0.00022775,0.00022775
46,1859.58,1.39318,1.33513,1.06069,0.88375,0.43404,0.54688,0.33729,1.23885,1.13144,1.01182,0.000221562,0.000221562,0.000221562
47,1899.96,1.3832,1.34497,1.06211,0.63271,0.60424,0.57094,0.32769,1.28372,1.07482,1.03013,0.000215375,0.000215375,0.000215375
48,1940.39,1.37662,1.26278,1.0574,0.84512,0.40981,0.53675,0.33392,1.3002,1.09668,1.05065,0.000209188,0.000209188,0.000209188
49,1980.84,1.43407,1.37502,1.07557,0.73432,0.50497,0.55077,0.3339,1.28119,1.10615,1.02873,0.000203,0.000203,0.000203
50,2021.37,1.42943,1.29016,1.05871,0.83784,0.43381,0.53367,0.34119,1.27424,1.07142,1.02394,0.000196812,0.000196812,0.000196812
51,2061.81,1.34508,1.21799,1.05569,0.73546,0.49155,0.54718,0.36307,1.29645,0.97502,1.02127,0.000190625,0.000190625,0.000190625
52,2102.31,1.32898,1.19447,1.07288,0.80488,0.45621,0.48255,0.3137,1.24565,1.02779,1.00259,0.000184438,0.000184438,0.000184438
53,2142.84,1.34541,1.24645,1.05992,0.82278,0.49754,0.55116,0.37155,1.19632,0.99357,0.97999,0.00017825,0.00017825,0.00017825
54,2183.29,1.23031,1.08547,1.0321,0.80536,0.43802,0.56449,0.37062,1.25191,0.99649,1.01816,0.000172063,0.000172063,0.000172063
55,2223.76,1.30213,1.2311,1.02925,0.74509,0.3949,0.53032,0.34944,1.18747,1.03139,1.00633,0.000165875,0.000165875,0.000165875
56,2264.25,1.3925,1.30519,1.09095,0.77241,0.5081,0.5548,0.35104,1.22976,1.15439,1.00056,0.000159688,0.000159688,0.000159688
57,2304.63,1.32832,1.1504,1.04651,0.8212,0.51082,0.57369,0.33894,1.23604,0.95279,1.01916,0.0001535,0.0001535,0.0001535
58,2345.08,1.26128,1.08961,1.02208,0.92397,0.43928,0.52883,0.33802,1.25138,0.93284,1.0183,0.000147312,0.000147312,0.000147312
59,2385.51,1.27234,1.12648,1.01649,0.75531,0.45937,0.51764,0.35023,1.24991,1.01968,1.01015,0.000141125,0.000141125,0.000141125
60,2426.1,1.30142,1.13141,1.02721,0.90483,0.42127,0.51528,0.32881,1.23509,1.06543,1.01978,0.000134937,0.000134937,0.000134937
61,2466.6,1.23792,0.995,1.02625,0.918,0.44981,0.54408,0.35727,1.23652,0.95339,1.01495,0.00012875,0.00012875,0.00012875
62,2507.06,1.25348,1.06826,1.0124,0.90202,0.44698,0.53456,0.36587,1.24862,0.95355,1.007,0.000122563,0.000122563,0.000122563
63,2547.4,1.24896,1.08724,0.99366,0.7436,0.53196,0.59052,0.37251,1.21097,0.93934,1.00978,0.000116375,0.000116375,0.000116375
64,2587.8,1.21407,1.00829,1.01437,0.72578,0.53127,0.58746,0.3837,1.17241,0.86527,0.99428,0.000110188,0.000110188,0.000110188
65,2628.18,1.20931,1.06884,1.0228,0.69227,0.52499,0.60862,0.38883,1.17442,0.87986,0.99232,0.000104,0.000104,0.000104
66,2668.64,1.24047,1.06144,1.02331,0.91562,0.45298,0.58692,0.38169,1.15971,0.87612,0.97638,9.78125e-05,9.78125e-05,9.78125e-05
67,2709.24,1.25475,1.05227,1.01564,0.69601,0.58164,0.60653,0.40177,1.1689,0.8848,0.972,9.1625e-05,9.1625e-05,9.1625e-05
68,2749.71,1.19015,0.98731,0.99014,0.87759,0.51721,0.62304,0.4236,1.15897,0.87066,0.9786,8.54375e-05,8.54375e-05,8.54375e-05
69,2790.03,1.14381,0.98162,0.98022,0.92271,0.52003,0.64305,0.43805,1.13485,0.85244,0.97181,7.925e-05,7.925e-05,7.925e-05
70,2830.4,1.15775,0.97548,0.97945,0.88729,0.51057,0.6604,0.45139,1.10592,0.89904,0.9539,7.30625e-05,7.30625e-05,7.30625e-05
71,2871.56,1.15161,0.96083,0.94829,0.83722,0.51214,0.65545,0.45915,1.14038,0.86721,0.95838,6.6875e-05,6.6875e-05,6.6875e-05
72,2911.9,1.1091,0.92672,0.8957,0.90694,0.51219,0.69653,0.49434,1.16147,0.83257,0.95928,6.06875e-05,6.06875e-05,6.06875e-05
73,2952.19,1.19334,0.96253,0.93581,0.93121,0.50693,0.67292,0.48428,1.13537,0.79698,0.95112,5.45e-05,5.45e-05,5.45e-05
74,2992.47,1.12041,0.91054,0.93901,0.86133,0.5128,0.65102,0.47072,1.09881,0.78583,0.94892,4.83125e-05,4.83125e-05,4.83125e-05
75,3032.73,1.1709,0.96659,0.93761,0.75963,0.66666,0.74558,0.50316,1.13925,0.82214,0.96605,4.2125e-05,4.2125e-05,4.2125e-05
76,3073.06,1.13043,0.91898,0.93573,0.85357,0.58515,0.72581,0.49944,1.11175,0.79365,0.96455,3.59375e-05,3.59375e-05,3.59375e-05
77,3113.29,1.15885,0.89136,0.93471,0.95539,0.57024,0.76357,0.52984,1.10892,0.77576,0.95383,2.975e-05,2.975e-05,2.975e-05
78,3153.73,1.0736,0.84141,0.90776,0.95258,0.57963,0.7599,0.52807,1.09766,0.79921,0.94984,2.35625e-05,2.35625e-05,2.35625e-05
79,3193.99,1.03885,0.78488,0.89738,0.7617,0.70187,0.76218,0.535,1.09076,0.7664,0.94946,1.7375e-05,1.7375e-05,1.7375e-05
80,3234.38,1.1089,0.8304,0.92623,0.79384,0.69538,0.76159,0.52656,1.09544,0.76074,0.95071,1.11875e-05,1.11875e-05,1.11875e-05
