epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1709.93,1.41898,1.35394,1.08702,0.8512,0.42739,0.51974,0.31127,1.34124,1.16946,1.02969,0.000210071,0.000210071,0.000210071
43,1750.36,1.41954,1.32733,1.09266,0.63181,0.56775,0.55027,0.29138,1.35113,1.29066,1.03236,0.000203,0.000203,0.000203
44,1791.01,1.43388,1.43478,1.05383,0.67399,0.37843,0.41822,0.26203,1.33598,1.3921,1.04165,0.000195929,0.000195929,0.000195929
45,1831.66,1.42865,1.26913,1.05102,0.62632,0.47734,0.51209,0.31054,1.28629,1.17229,1.00714,0.000188857,0.000188857,0.000188857
46,1872.12,1.39988,1.33738,1.01969,0.57741,0.39508,0.42156,0.25511,1.31357,1.22493,1.00937,0.000181786,0.000181786,0.000181786
47,1912.63,1.41777,1.35178,1.05152,0.80679,0.34252,0.4895,0.30693,1.2852,1.1622,1.00348,0.000174714,0.000174714,0.000174714
48,1953.04,1.39608,1.2326,1.03077,0.5478,0.48526,0.42315,0.26575,1.29969,1.09144,1.01739,0.000167643,0.000167643,0.000167643
49,1993.63,1.44651,1.32777,1.05643,0.70232,0.44853,0.51322,0.30632,1.29938,1.17336,1.00193,0.000160571,0.000160571,0.000160571
50,2034.2,1.43152,1.26913,1.03755,0.67684,0.46764,0.4856,0.2935,1.271,1.12544,0.99962,0.0001535,0.0001535,0.0001535
51,2074.7,1.35728,1.16482,1.02769,0.73211,0.44691,0.51132,0.32889,1.22166,1.00102,0.97495,0.000146429,0.000146429,0.000146429
52,2115.13,1.32143,1.16313,1.04888,0.76159,0.44576,0.4807,0.2958,1.23932,1.06387,0.98395,0.000139357,0.000139357,0.000139357
53,2155.58,1.35486,1.20149,1.04013,0.83338,0.45446,0.51055,0.32226,1.22826,0.98723,0.98236,0.000132286,0.000132286,0.000132286
54,2196.02,1.25968,1.04703,1.02654,0.59525,0.47073,0.53401,0.34,1.192,0.94064,0.97538,0.000125214,0.000125214,0.000125214
55,2236.5,1.32177,1.18499,1.0122,0.66421,0.47851,0.43598,0.27249,1.23404,1.10645,0.98415,0.000118143,0.000118143,0.000118143
56,2276.91,1.41027,1.31631,1.0686,0.70547,0.46593,0.45918,0.29291,1.17879,1.01803,0.97534,0.000111071,0.000111071,0.000111071
57,2317.48,1.34182,1.12185,1.04134,0.89703,0.45088,0.55684,0.32572,1.20471,0.97501,0.98194,0.000104,0.000104,0.000104
58,2357.96,1.29713,1.06173,1.00875,0.71303,0.46003,0.51809,0.32713,1.18894,1.06024,0.97232,9.69286e-05,9.69286e-05,9.69286e-05
59,2398.33,1.27698,1.12959,0.99253,0.61461,0.47718,0.52337,0.30623,1.20504,0.99666,0.97732,8.98571e-05,8.98571e-05,8.98571e-05
60,2438.91,1.2972,1.1225,0.99858,0.61978,0.47917,0.50469,0.30945,1.1911,1.07936,0.96246,8.27857e-05,8.27857e-05,8.27857e-05
61,2480.12,1.25036,1.0966,0.95646,0.81161,0.43415,0.53896,0.33665,1.19458,0.99435,0.97524,7.57143e-05,7.57143e-05,7.57143e-05
62,2520.54,1.22407,1.07475,0.9618,0.67161,0.44558,0.52459,0.34744,1.18473,1.00329,0.97098,6.86429e-05,6.86429e-05,6.86429e-05
63,2561.1,1.19516,1.0111,0.94122,0.88526,0.4606,0.53987,0.34633,1.18668,0.96038,0.97786,6.15714e-05,6.15714e-05,6.15714e-05
64,2601.63,1.25552,0.99372,0.9391,0.77506,0.47022,0.55678,0.33272,1.20451,0.95698,0.98019,5.45e-05,5.45e-05,5.45e-05
65,2641.99,1.17624,0.95398,0.93869,0.6981,0.52609,0.55704,0.34519,1.18989,0.9266,0.97563,4.74286e-05,4.74286e-05,4.74286e-05
66,2682.51,1.26116,1.03317,0.95075,0.7095,0.51729,0.55275,0.32396,1.19724,0.96688,0.98065,4.03571e-05,4.03571e-05,4.03571e-05
67,2722.7,1.19642,0.98453,0.93578,0.84099,0.45736,0.56069,0.34745,1.17405,0.93741,0.9695,3.32857e-05,3.32857e-05,3.32857e-05
68,2763.04,1.15754,0.93459,0.92121,0.77276,0.52273,0.5672,0.34944,1.16496,0.90751,0.96658,2.62143e-05,2.62143e-05,2.62143e-05
69,2803.61,1.1546,0.8979,0.91429,0.76457,0.53649,0.59112,0.3494,1.15261,0.8847,0.96109,1.91429e-05,1.91429e-05,1.91429e-05
70,2843.91,1.18456,0.9158,0.92362,0.86901,0.46259,0.57754,0.3548,1.1599,0.91632,0.96565,1.20714e-05,1.20714e-05,1.20714e-05
