epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3639.58,1.3802,1.41329,1.17024,0.54409,0.5307,0.48715,0.29667,1.33147,1.23469,1.1369,0.000210071,0.000210071,0.000210071
43,3726.15,1.38776,1.40097,1.1755,0.85043,0.39171,0.53169,0.3065,1.35545,1.19687,1.12314,0.000203,0.000203,0.000203
44,3812.82,1.39908,1.39815,1.13381,0.60931,0.3896,0.493,0.31314,1.32775,1.13456,1.10098,0.000195929,0.000195929,0.000195929
45,3899.48,1.38422,1.27782,1.13299,0.6098,0.57752,0.53248,0.35371,1.31488,1.15587,1.10041,0.000188857,0.000188857,0.000188857
46,3986.08,1.35628,1.36415,1.12075,0.44655,0.49463,0.49285,0.30098,1.32917,1.11886,1.08863,0.000181786,0.000181786,0.000181786
47,4072.57,1.37581,1.3453,1.13442,0.77635,0.42809,0.53403,0.31252,1.32337,1.09808,1.09775,0.000174714,0.000174714,0.000174714
48,4159.03,1.33342,1.27882,1.09719,0.74794,0.45096,0.49228,0.29267,1.28053,0.99504,1.07999,0.000167643,0.000167643,0.000167643
49,4245.56,1.40571,1.39256,1.14114,0.73074,0.3765,0.51476,0.30199,1.27007,1.06098,1.06621,0.000160571,0.000160571,0.000160571
50,4332.05,1.37982,1.33299,1.11242,0.74421,0.446,0.48887,0.30662,1.26257,1.11119,1.07248,0.0001535,0.0001535,0.0001535
51,4418.51,1.32923,1.23227,1.11879,0.68433,0.5051,0.50246,0.30122,1.28072,1.01423,1.09434,0.000146429,0.000146429,0.000146429
52,4505.08,1.29976,1.23734,1.13345,0.66116,0.47428,0.51807,0.28228,1.29308,1.06805,1.10573,0.000139357,0.000139357,0.000139357
53,4591.76,1.3328,1.25993,1.14025,0.57058,0.53921,0.52373,0.32213,1.273,1.00136,1.08868,0.000132286,0.000132286,0.000132286
54,4678.24,1.19182,1.06369,1.07383,0.7374,0.43007,0.50049,0.3092,1.24575,1.03727,1.06473,0.000125214,0.000125214,0.000125214
55,4764.82,1.25205,1.18096,1.08318,0.75996,0.44732,0.48554,0.3097,1.22276,0.98652,1.07232,0.000118143,0.000118143,0.000118143
