epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,898.667,1.54969,1.57368,1.09381,0.65228,0.43169,0.51556,0.27082,1.47998,1.3507,1.07804,0.000246313,0.000246313,0.000246313
43,920.133,1.55418,1.60497,1.11263,0.70867,0.46636,0.56438,0.29543,1.47789,1.36944,1.04572,0.000240125,0.000240125,0.000240125
44,941.601,1.57727,1.60296,1.07211,0.45993,0.45677,0.40879,0.2197,1.44932,1.29436,1.08062,0.000233938,0.000233938,0.000233938
45,962.812,1.58866,1.47376,1.08678,0.80902,0.45582,0.54147,0.26785,1.47178,1.35657,1.07322,0.00022775,0.00022775,0.00022775
46,984.126,1.592,1.5754,1.07619,0.59346,0.52107,0.46917,0.25087,1.47907,1.30414,1.06456,0.000221562,0.000221562,0.000221562
47,1005.44,1.5862,1.57586,1.08744,0.81403,0.52594,0.57883,0.27147,1.47136,1.37553,1.06825,0.000215375,0.000215375,0.000215375
48,1026.98,1.54901,1.47295,1.05761,0.77225,0.54569,0.58043,0.33504,1.44705,1.278,1.04211,0.000209188,0.000209188,0.000209188
49,1048.66,1.60191,1.53796,1.07993,0.80626,0.45887,0.55358,0.29093,1.53458,1.34571,1.07041,0.000203,0.000203,0.000203
50,1070.16,1.59153,1.49714,1.07666,0.52815,0.50179,0.47346,0.28642,1.44136,1.50214,1.04753,0.000196812,0.000196812,0.000196812
51,1091.86,1.53831,1.43926,1.08431,0.67454,0.49868,0.51108,0.28932,1.45715,1.28748,1.05084,0.000190625,0.000190625,0.000190625
52,1113.46,1.48742,1.43713,1.09096,0.84581,0.48498,0.53778,0.31074,1.47244,1.24677,1.05956,0.000184438,0.000184438,0.000184438
53,1135.22,1.51611,1.4232,1.08669,0.63691,0.5146,0.54016,0.29357,1.43182,1.30862,1.06691,0.00017825,0.00017825,0.00017825
54,1156.34,1.39987,1.3066,1.04684,0.77607,0.49334,0.55637,0.29728,1.4102,1.25415,1.04177,0.000172063,0.000172063,0.000172063
55,1178.13,1.48681,1.43426,1.0529,0.60916,0.49953,0.474,0.25093,1.4278,1.238,1.04339,0.000165875,0.000165875,0.000165875
56,1199.75,1.59527,1.53432,1.1042,0.85155,0.42235,0.49661,0.27048,1.4684,1.33206,1.06129,0.000159688,0.000159688,0.000159688
57,1221.09,1.51454,1.37678,1.06941,0.66678,0.42882,0.46592,0.27989,1.3918,1.20327,1.02599,0.0001535,0.0001535,0.0001535
58,1242.68,1.46672,1.29482,1.03862,0.71865,0.49717,0.53675,0.28501,1.43981,1.22473,1.0339,0.000147312,0.000147312,0.000147312
59,1264.13,1.46972,1.35649,1.0348,0.87303,0.48038,0.54596,0.29594,1.46089,1.22875,1.04172,0.000141125,0.000141125,0.000141125
60,1285.81,1.46526,1.40368,1.03118,0.64179,0.49915,0.45189,0.27892,1.36753,1.20004,1.01463,0.000134937,0.000134937,0.000134937
61,1307.36,1.41334,1.22525,1.0354,0.71183,0.41455,0.46533,0.28279,1.37604,1.2794,1.0132,0.00012875,0.00012875,0.00012875
62,1328.78,1.45262,1.31719,1.01787,0.64288,0.50656,0.53212,0.2953,1.3421,1.19352,0.99626,0.000122563,0.000122563,0.000122563
63,1350.47,1.39776,1.30687,0.99917,0.7901,0.39777,0.50864,0.31824,1.35958,1.14585,1.00547,0.000116375,0.000116375,0.000116375
64,1371.74,1.40446,1.19128,1.02502,0.74254,0.50392,0.57899,0.33563,1.37652,1.21397,1.01478,0.000110188,0.000110188,0.000110188
65,1392.98,1.38896,1.32429,1.03439,0.82882,0.54353,0.59892,0.36137,1.333,1.13693,0.99712,0.000104,0.000104,0.000104
66,1414.32,1.43695,1.29997,1.03996,0.59559,0.50697,0.47377,0.27921,1.35652,1.16646,1.01331,9.78125e-05,9.78125e-05,9.78125e-05
67,1436.21,1.45631,1.2991,1.03284,0.68579,0.55196,0.52707,0.31237,1.27841,1.12694,0.97637,9.1625e-05,9.1625e-05,9.1625e-05
68,1457.86,1.3428,1.20406,0.99432,0.61317,0.57034,0.55683,0.31646,1.3065,1.21981,0.98522,8.54375e-05,8.54375e-05,8.54375e-05
69,1479.21,1.34812,1.22968,0.99073,0.76661,0.40461,0.5203,0.30586,1.32389,1.14027,1.00423,7.925e-05,7.925e-05,7.925e-05
70,1500.71,1.36572,1.2307,1.00073,0.70032,0.56524,0.53588,0.31193,1.30755,1.1775,0.99016,7.30625e-05,7.30625e-05,7.30625e-05
71,1523.67,1.33704,1.18153,0.95337,0.69464,0.56501,0.53021,0.31499,1.34299,1.13555,0.99752,6.6875e-05,6.6875e-05,6.6875e-05
72,1545.21,1.30482,1.16817,0.92305,0.75763,0.48784,0.50239,0.33452,1.298,1.19856,0.97916,6.06875e-05,6.06875e-05,6.06875e-05
73,1566.41,1.37902,1.2225,0.94997,0.85845,0.54525,0.56,0.33602,1.30047,1.12677,0.98255,5.45e-05,5.45e-05,5.45e-05
74,1587.59,1.34111,1.12479,0.96447,0.82317,0.54175,0.56325,0.35433,1.30947,1.06451,0.97911,4.83125e-05,4.83125e-05,4.83125e-05
75,1608.97,1.34755,1.16838,0.93441,0.84894,0.54152,0.60912,0.37289,1.32883,1.09271,0.98217,4.2125e-05,4.2125e-05,4.2125e-05
76,1630.39,1.3425,1.14927,0.95524,0.75138,0.55008,0.56461,0.33798,1.32709,1.11162,0.99114,3.59375e-05,3.59375e-05,3.59375e-05
77,1652,1.38738,1.11748,0.95093,0.79605,0.55115,0.60244,0.3652,1.32705,1.08299,0.98575,2.975e-05,2.975e-05,2.975e-05
78,1673.41,1.28842,1.08633,0.92276,0.78414,0.55239,0.56382,0.33829,1.3203,1.06708,0.98758,2.35625e-05,2.35625e-05,2.35625e-05
79,1694.82,1.22335,1.02884,0.91775,0.82096,0.54663,0.57799,0.34453,1.30926,1.06615,0.98189,1.7375e-05,1.7375e-05,1.7375e-05
80,1715.78,1.28756,1.07826,0.93302,0.82624,0.54563,0.58409,0.34866,1.31117,1.07578,0.98498,1.11875e-05,1.11875e-05,1.11875e-05
