epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1582.08,1.76521,2.73092,1.90258,1.2118,0.80102,0.31335,0.48883,0.24296,0.5231,0.19062,0.34623,0.17261,1.56286,2.42518,1.62799,1.14917,0.000641125,0.000641125,0.000641125
31,1635.07,1.7987,2.52938,1.97953,1.23944,0.60152,0.2755,0.37621,0.20844,0.48726,0.2115,0.30221,0.13433,1.63882,2.48241,1.71775,1.18198,0.00062875,0.00062875,0.00062875
32,1687.94,1.75232,2.62994,1.89097,1.20999,0.78761,0.21246,0.27348,0.15758,0.77164,0.20526,0.23737,0.11864,1.60562,2.46268,1.68621,1.18646,0.000616375,0.000616375,0.000616375
33,1740.8,1.65257,2.41212,1.87789,1.21348,0.52052,0.2244,0.33681,0.17644,0.86243,0.1909,0.28693,0.15219,1.58796,2.40269,1.52427,1.18775,0.000604,0.000604,0.000604
34,1793.89,1.67974,2.52028,1.65594,1.23521,0.59316,0.35459,0.37122,0.18884,0.5393,0.2107,0.25249,0.13628,1.58277,2.4251,1.51445,1.1932,0.000591625,0.000591625,0.000591625
35,1846.76,1.73186,2.58834,1.86858,1.20343,0.5881,0.26271,0.303,0.17851,0.56092,0.24636,0.2795,0.15594,1.49071,2.3998,1.61322,1.13887,0.00057925,0.00057925,0.00057925
36,1899.72,1.66662,2.58992,1.75277,1.20779,0.6188,0.33938,0.35282,0.19994,0.62793,0.25727,0.27289,0.13608,1.56334,2.47956,1.44015,1.19861,0.000566875,0.000566875,0.000566875
37,1952.63,1.73447,2.61832,1.75669,1.23874,0.66602,0.27225,0.38655,0.23593,0.65226,0.26752,0.32365,0.15732,1.55019,2.43054,1.4207,1.16475,0.0005545,0.0005545,0.0005545
38,2005.52,1.6454,2.36924,1.68893,1.15692,0.68984,0.38388,0.35843,0.18641,0.47992,0.19506,0.24258,0.12603,1.61928,2.38549,1.64113,1.18447,0.000542125,0.000542125,0.000542125
39,2058.47,1.69621,2.43669,1.76221,1.19053,0.81862,0.25463,0.38545,0.22526,0.77346,0.24239,0.33269,0.17337,1.57961,2.22545,1.40457,1.18529,0.00052975,0.00052975,0.00052975
40,2111.49,1.70788,2.49547,1.72607,1.2004,0.69316,0.31552,0.28457,0.17033,0.58888,0.2578,0.24026,0.13759,1.57451,2.38318,1.49624,1.15141,0.000517375,0.000517375,0.000517375
41,2164.43,1.70838,2.39647,1.70147,1.15563,0.63718,0.27449,0.39201,0.21612,0.61995,0.24504,0.36299,0.15279,1.47688,2.3255,1.56371,1.1356,0.000505,0.000505,0.000505
42,2217.34,1.59413,2.34454,1.75443,1.17598,0.83255,0.38343,0.44003,0.24564,0.71268,0.25006,0.29779,0.14814,1.48703,2.27603,1.55794,1.13424,0.000492625,0.000492625,0.000492625
43,2270.29,1.60385,2.36645,1.72126,1.18005,0.74794,0.37855,0.49848,0.2788,0.71679,0.37602,0.4958,0.19246,1.4618,2.19956,1.67777,1.09505,0.00048025,0.00048025,0.00048025
44,2323.26,1.62727,2.55386,1.75538,1.15676,0.50696,0.42862,0.41814,0.22833,0.3773,0.43121,0.35799,0.17453,1.47315,2.25045,1.62851,1.14398,0.000467875,0.000467875,0.000467875
