epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3680.81,1.35332,1.42241,1.15846,0.58098,0.4456,0.43318,0.24412,1.3859,1.21639,1.18704,0.000210071,0.000210071,0.000210071
43,3768.41,1.37639,1.46494,1.17887,0.72243,0.41601,0.46619,0.25331,1.41888,1.2984,1.18568,0.000203,0.000203,0.000203
44,3856.13,1.38452,1.41432,1.131,0.68982,0.45151,0.49672,0.2813,1.36944,1.18706,1.16317,0.000195929,0.000195929,0.000195929
45,3943.95,1.34134,1.26462,1.09837,0.8829,0.39634,0.52605,0.30465,1.31371,1.15655,1.10137,0.000188857,0.000188857,0.000188857
46,4031.8,1.34774,1.41139,1.09497,0.58042,0.51266,0.48183,0.28455,1.29345,1.12733,1.09953,0.000181786,0.000181786,0.000181786
47,4119.85,1.35415,1.33443,1.12701,0.63084,0.44944,0.49204,0.29583,1.27896,1.10044,1.11601,0.000174714,0.000174714,0.000174714
48,4207.79,1.30871,1.24959,1.08564,0.64651,0.46567,0.49253,0.29351,1.31311,0.96937,1.12607,0.000167643,0.000167643,0.000167643
49,4295.71,1.37943,1.37555,1.11446,0.6019,0.52055,0.49635,0.31566,1.29768,1.12826,1.11144,0.000160571,0.000160571,0.000160571
50,4383.4,1.37873,1.31019,1.10856,0.81466,0.4363,0.51542,0.29568,1.28697,1.14558,1.1218,0.0001535,0.0001535,0.0001535
51,4471.08,1.29005,1.22876,1.10119,0.61043,0.57225,0.52859,0.33448,1.30081,0.99824,1.09603,0.000146429,0.000146429,0.000146429
52,4558.85,1.30741,1.22177,1.14804,0.6879,0.44599,0.54317,0.32945,1.27006,0.96866,1.09432,0.000139357,0.000139357,0.000139357
53,4646.61,1.29178,1.26574,1.10566,0.66572,0.52849,0.56911,0.37127,1.27328,0.9636,1.09514,0.000132286,0.000132286,0.000132286
54,4734.28,1.15679,1.06261,1.0668,0.88098,0.40741,0.53125,0.36063,1.26287,0.98419,1.0976,0.000125214,0.000125214,0.000125214
55,4821.78,1.26379,1.21126,1.08231,0.72623,0.45293,0.51855,0.32498,1.28896,1.16295,1.10956,0.000118143,0.000118143,0.000118143
56,4909.42,1.36819,1.24576,1.13691,0.72781,0.52697,0.52292,0.31858,1.27633,1.0774,1.09202,0.000111071,0.000111071,0.000111071
57,4996.98,1.23055,1.10846,1.06732,0.86533,0.49465,0.58221,0.37469,1.21641,0.95151,1.05188,0.000104,0.000104,0.000104
58,5084.78,1.20561,1.06368,1.06473,0.81767,0.43533,0.52188,0.33636,1.2176,1.05255,1.0582,9.69286e-05,9.69286e-05,9.69286e-05
59,5172.37,1.19488,1.1029,1.04299,0.61084,0.53623,0.51723,0.34007,1.24071,0.95292,1.06222,8.98571e-05,8.98571e-05,8.98571e-05
60,5260.32,1.21066,1.09553,1.05424,0.77696,0.4531,0.50964,0.33817,1.21999,0.96335,1.07189,8.27857e-05,8.27857e-05,8.27857e-05
61,5348.57,1.17481,1.03054,1.02235,0.84741,0.44041,0.5073,0.33928,1.19996,0.95344,1.07262,7.57143e-05,7.57143e-05,7.57143e-05
62,5435.97,1.14429,1.01355,1.02552,0.79698,0.44956,0.51044,0.35031,1.21392,0.90423,1.06504,6.86429e-05,6.86429e-05,6.86429e-05
63,5523.34,1.13474,0.99863,1.00369,0.90384,0.44733,0.54407,0.35789,1.16466,0.88824,1.05654,6.15714e-05,6.15714e-05,6.15714e-05
64,5610.61,1.19232,0.98566,0.99043,0.74348,0.53219,0.54637,0.38235,1.18832,0.87926,1.04659,5.45e-05,5.45e-05,5.45e-05
65,5697.97,1.11427,0.92109,0.97806,0.77756,0.52863,0.56293,0.38459,1.15581,0.86979,1.03678,4.74286e-05,4.74286e-05,4.74286e-05
66,5785.44,1.16005,1.006,1.0106,0.73741,0.51036,0.53876,0.3719,1.1606,0.83578,1.0413,4.03571e-05,4.03571e-05,4.03571e-05
67,5872.62,1.09711,0.97342,0.98642,0.88659,0.46055,0.55744,0.35999,1.16144,0.86382,1.0299,3.32857e-05,3.32857e-05,3.32857e-05
68,5959.92,1.07404,0.88117,0.97817,0.88767,0.45998,0.57273,0.39239,1.18177,0.8686,1.03154,2.62143e-05,2.62143e-05,2.62143e-05
69,6047.27,1.06517,0.87589,0.9634,0.72281,0.53638,0.54667,0.37729,1.16457,0.87028,1.02591,1.91429e-05,1.91429e-05,1.91429e-05
70,6134.61,1.09715,0.87954,0.95827,0.74356,0.52984,0.54522,0.37717,1.14883,0.86896,1.03071,1.20714e-05,1.20714e-05,1.20714e-05
